status,source_URLs,Name,Type,Cardinality,Label,Required,Help
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,performAutoBalance,boolean,0..1,Perform Auto Balance,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,postingPeriod,RecordRef,0..1,Posting Period,F,"The current period is entered as the posting period for the journal entry. If this period is closed before the journal entry is approved, the posting period is the earliest open period."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,reversalDate,dateTime,0..1,Reversal Date,F,"If this journal entry is intended to be reversed, enter the date for the reversing entry to be posted.
If Defer Entry is checked, this field is mandatory."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,reversalDefer,boolean,0..1,Defer Entry,F,"Check this box to make the reversal a memorized transaction that automatically occurs on the date entered in the required Reversal Date field.
Clear this box to make the reversal an immediately entered transaction with the date in the Reversal Date field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,reversalEntry,string,0..1,Reversal No.,F,"If this journal entry is a reversal journal entry, the reversal number appears in this read-only field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,subsidiary,RecordRef,0..1,From {1},F,"If you are entering a regular, book specific, or statistical journal entry:
In the Subsidiary field, select the subsidiary to associate with this journal entry.
Note: If the subsidiary you select is assigned to one or more shared vendor records, you can make journal entries for any of the vendors to which the selected subsidiary is assigned. To do this, on the Lines subtab, select the shared vendor from the Name field. 
Note: When a journal entry is associated with a subsidiary, the journal posts to that subsidiary and the schedule is restricted to be viewed only by entities associated with the subsidiary.
If you are entering an intercompany journal entry:
In the Subsidiary field, choose the subsidiary initiating the ledger transaction. The first line of this journal entry must post to the subsidiary you choose here.
Note: All lines of an intercompany journal entry must post to either the Subsidary or the To Subsidiary. No other subsidiaries can be associated with lines on this journal entry.
If you are entering an advanced intercompany journal entry:
In the Subsidiary field, choose the subsidiary initiating the ledger transaction. The first line of this journal entry must post to the subsidiary you choose here. The remaining lines can post to any subsidiary to which you are granted access."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,tranDate,dateTime,0..1,Date,T,NetSuite inserts today's date as the date of this journal entry. You can enter or select another date.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,tranId,string,0..1,Entry No.,F,"NetSuite increases the largest journal entry number by one. If you wish, you can type another number.
The next journal entry number will revert to the standard pattern.
You can enter a maximum of 45 characters in this field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,,,,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,accountingBookDetailList,AccountingBookDetailList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,billOfMaterials,RecordRef,0..1,Bill of Materials,F,Select the Bill of Materials (BOM) you want to associate with this assembly.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,billOfMaterialsRevision,RecordRef,0..1,Bill of Materials Revision,F,Select the BOM Revision you want to associate with this assembly.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,binNumbers,string,0..1,Bin Numbers,F,This is required on Add only and then becomes a read-only field. Note that the binNumber field set on Add sets the initial value of the internalID field.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,buildable,double,0..1,Buildable,F,"Read only field that indicates the number of assembly items possible. This number is determined by the amount of member items in stock. If you use locations, this number only represents the number of assembly items that can be built at the selected location.The value for the quantity to build cannot be higher than the buildable number."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,class,RecordRef,0..1,{1},F,References a value from a user defined list at Setup > Company > Classifications > Classes. This field is required when the Make Classes Mandatory preference is enabled at Setup > Accounting > Accounting Preferences.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,componentList,AssemblyComponentList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,createdDate,dateTime,0..1,Date Created,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,createdFrom,RecordRef,0..1,Created From,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,customFieldList,CustomFieldList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,customForm,RecordRef,0..1,Custom Form,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,department,RecordRef,0..1,{1},F,"Set a department to associate with this assembly item. For details on existing department records, in the UI go to Setup > Company > Departments."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,expirationDate,dateTime,0..1,Expiration Date,F,"If building a lot numbered assembly item, then set the lot expiration date. To receive a warning when the lot is about to expire, go to Setup > Set Up Accounting. On the General subtab, in the Days Before Lot Expiration Warning field, enter the number of days in advance of a lot item's expiration that you would like to receive a warning. Then, click Save."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,inventoryDetail,InventoryDetail,0..1,Inventory Detail,F,Click the Inventory Detail icon to add assemblies to other bins.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,item,RecordRef,0..1,Assembly,T,"Set the assembly item to build. To create an assembly item record, go to Lists > Items > New and click Assembly/Bill of Materials."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,lastModifiedDate,dateTime,0..1,Date Last Modified,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,location,RecordRef,0..1,{1},F,Set a location for the built assembly items. Raw materials are taken from the inventory at this location.The built assembly items are added to the inventory at this location.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,memo,string,0..1,Memo,F,Set a description for the build.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,postingPeriod,RecordRef,0..1,Posting Period,F,"If you use accounting periods, select a transaction Posting Period."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,quantity,double,0..1,Quantity,T,Set the number of assembly items to build or unbuild.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,revision,RecordRef,0..1,Revision,F,Select the revision of the assembly build to use. The effective date shown on the revision record you select determines when this item is included as a member for an assembly.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,serialNumbers,string,0..1,Serial Numbers,F,Set the serial numbers for the assemblies to build or unbuild. Maximum 3800 characters allowed in this field.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,subsidiary,RecordRef,0..1,{1},F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,total,double,0..1,Projected Value,F,Read-only field that returns the projected value of the assembly.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,tranDate,dateTime,0..1,Date,T,Defaults to the current date.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,tranId,string,0..1,Ref No.,F,Defaults to the largest Assembly Build number incremented by one. You can overwrite with another number.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblybuild.html,units,RecordRef,0..1,Unit of Measure,F,"If the assembly you select uses Units of Measure, the base units are displayed in the Units field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblyitem.html,,,,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblyitem.html,accountingBookDetailList,ItemAccountingBookDetailList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblyitem.html,alternateDemandSourceItem,RecordRef,0..1,Alternate Source Item,F,"For demand planning purposes, choose another item if you want to examine the historical sales of an item other than the one on the current record. When this field is left blank, the source for historical data is the original item.
For example, if you are setting up Item A for demand planning, but Item A does not have an extensive sales history, you can choose Item B as an alternate source for historical data. Then, when demand calculations need to be made for Item A, NetSuite uses Item B’s history for the calculations.
Note: You can select only an item that is of the same item type to be an alternate source. For example, if the original item is an inventory item, the alternate source item must also be an inventory item."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/assemblyitem.html,assetAccount,RecordRef,0..1,Asset Account,F,"References an existing asset account at Lists > Accounting > Accounts. In order to retrieve a list of available values for this field, use the GetSelectValue operation."
